Waste Type,Total Disposed ('000 tonnes),Total Recycled ('000 tonnes),Total Generated ('000 tonnes),Recycling Rate,Year
Food,679900,111100,791000,0.14,01-01-2016
Paper,576000,607100,1183100,0.51,01-01-2016
Plastic,762700,59500,822200,0.07,01-01-2016
Construction Debris,9700,1585700,1595400,0.99,01-01-2016
Horticultural Waste,111500,209000,320500,0.65,01-01-2016
Wood,119100,411600,530700,0.78,01-01-2016
Ferrous Metal,6000,1351500,1357500,0.99,01-01-2016
Non-Ferrous Metal,1300,95900,97200,0.99,01-01-2016
Used Slag,4100,247000,251100,0.98,01-01-2016
Ash & Sludge,199000,28300,227300,0.13,01-01-2016
Glass,57600,14700,72300,0.2,01-01-2016
Textile/Leather,139800,10900,150700,0.07,01-01-2016
Scrap Tyres,3000,29700,32700,0.91,01-01-2016
Others,375500,7000,382500,0.02,01-01-2016
Food,681400,104100,785500,0.13,01-01-2015
Paper,588500,603700,1192200,0.51,01-01-2015
Plastic,766800,57800,824600,0.07,01-01-2015
Construction Debris,8900,1402900,1411800,0.99,01-01-2015
Horticultural Waste,124800,237200,362000,0.66,01-01-2015
Wood,76900,293700,370600,0.79,01-01-2015
Ferrous Metal,15200,1333300,1348500,0.99,01-01-2015
Non-Ferrous Metal,19600,160400,180000,0.89,01-01-2015
Used Slag,4100,365800,369900,0.99,01-01-2015
Ash & Sludge,170800,25200,196000,0.13,01-01-2015
Glass,60600,14600,75200,0.19,01-01-2015
Textile/Leather,144200,12500,156700,0.08,01-01-2015
Scrap Tyres,2700,32800,35500,0.92,01-01-2015
Others,359300,5700,365000,0.02,01-01-2015
Food,687200,101400,788600,0.13,01-01-2014
Paper,590800,646500,1237400,0.52,01-01-2014
Plastic,789000,80000,869000,0.09,01-01-2014
Construction Debris,9700,1260000,1269700,0.99,01-01-2014
Horticultural Waste,115300,163000,278300,0.59,01-01-2014
Wood,74500,293400,367900,0.8,01-01-2014
Ferrous Metal,57000,1388900,1445900,0.96,01-01-2014
Non-Ferrous Metal,23700,94700,118400,0.8,01-01-2014
Used Slag,5100,361200,366300,0.99,01-01-2014
Ash & Sludge,126800,21700,148500,0.15,01-01-2014
Glass,63800,15700,79500,0.2,01-01-2014
Textile/Leather,141800,16800,158600,0.11,01-01-2014
Scrap Tyres,3100,23100,26200,0.88,01-01-2014
Others,355600,4700,360100,0.01,01-01-2014
Food,696000,100000,796000,0.13,01-01-2013
Paper,581700,679400,1261100,0.54,01-01-2013
Plastic,741100,91100,832200,0.11,01-01-2013
Construction Debris,12300,1683000,1695300,0.99,01-01-2013
Wood,77800,254600,332400,0.77,01-01-2013
Horticultural Waste,131700,120900,252600,0.48,01-01-2013
Ferrous Metal,46800,1369200,1416000,0.97,01-01-2013
Non-Ferrous Metal,21100,114000,135100,0.84,01-01-2013
Used Slag,8900,344800,353700,0.97,01-01-2013
Ash & Sludge,176400,14200,190600,0.07,01-01-2013
Glass,58900,14600,73500,0.2,01-01-2013
Textile/Leather,140300,16300,156600,0.1,01-01-2013
Scrap Tyres,2600,19000,21600,0.88,01-01-2013
Others,330000,4800,334800,0.01,01-01-2013
Food,618100,85100,703200,0.12,01-01-2012
Paper,555300,696700,1252000,0.56,01-01-2012
Plastic,721300,82100,803400,0.1,01-01-2012
Construction Debris,9100,1282700,1291800,0.99,01-01-2012
Wood,107800,236000,343800,0.69,01-01-2012
Horticultural Waste,139800,108000,247800,0.44,01-01-2012
Ferrous Metal,54800,1331200,1386000,0.96,01-01-2012
Non-Ferrous Metal,25200,97300,122500,0.79,01-01-2012
Used Slag,9800,358000,367800,0.97,01-01-2012
Ash & Sludge,160200,0,160200,0,01-01-2012
Glass,55400,19500,74900,0.26,01-01-2012
Textile/Leather,141000,18300,159300,0.11,01-01-2012
Scrap Tyres,2300,16100,18400,0.88,01-01-2012
Others,333800,4600,338400,0.01,01-01-2012
Food,605800,69700,675500,0.1,01-01-2011
Paper,603200,765000,1368200,0.56,01-01-2011
Plastic,656000,77000,733000,0.11,01-01-2011
Construction Debris,12600,1191100,1203700,0.99,01-01-2011
Wood,97400,176500,273900,0.64,01-01-2011
Horticultural Waste,149800,89000,238800,0.37,01-01-2011
Ferrous Metal,67600,1171600,1239200,0.95,01-01-2011
Non-Ferrous Metal,14500,102800,117300,0.88,01-01-2011
Used Slag,5700,335900,341600,0.98,01-01-2011
Ash & Sludge,152900,0,152900,0,01-01-2011
Glass,51400,21400,72800,0.29,01-01-2011
Textile/Leather,113700,17300,131000,0.13,01-01-2011
Scrap Tyres,3700,18300,22000,0.83,01-01-2011
Others,325200,3200,328400,0.01,01-01-2011
Food,538100,102400,640500,0.16,01-01-2010
Paper,645700,738200,1383900,0.53,01-01-2010
Plastic,662300,78100,740400,0.11,01-01-2010
Construction Debris,9400,912400,921800,0.99,01-01-2010
Wood,80000,190000,270000,0.7,01-01-2010
Horticultural Waste,151800,99200,251000,0.4,01-01-2010
Ferrous Metal,67100,1127500,1194600,0.94,01-01-2010
Non-Ferrous Metal,12400,73100,85500,0.85,01-01-2010
Used Slag,3800,378900,382700,0.99,01-01-2010
Ash & Sludge,114400,0,114400,0,01-01-2010
Glass,60700,19200,79900,0.24,01-01-2010
Textile/Leather,106200,14700,120900,0.12,01-01-2010
Scrap Tyres,4000,20000,24000,0.83,01-01-2010
Others,303600,3800,307400,0.01,01-01-2010
Food,529400,76700,606100,0.13,01-01-2009
Paper,626800,574200,1201000,0.48,01-01-2009
Plastic,628600,60300,688900,0.09,01-01-2009
Construction Debris,25100,1150700,1175800,0.98,01-01-2009
Wood,80200,207400,287600,0.72,01-01-2009
Horticultural Waste,144600,93500,238100,0.39,01-01-2009
Ferrous Metal,65800,806200,872000,0.92,01-01-2009
Non-Ferrous Metal,10100,47500,57600,0.82,01-01-2009
Used Slag,3800,418600,422400,0.99,01-01-2009
Ash & Sludge,88900,0,88900,0,01-01-2009
Glass,57500,15600,73100,0.21,01-01-2009
Textile/Leather,96500,12600,109100,0.12,01-01-2009
Scrap Tyres,3900,18700,22600,0.83,01-01-2009
Others,267700,3200,270900,0.01,01-01-2009
Food,500000,68000,568000,0.12,01-01-2008
Paper,653900,608600,1262500,0.48,01-01-2008
Plastic,623200,61200,684400,0.09,01-01-2008
Construction Debris,22000,900000,922000,0.98,01-01-2008
Wood,79400,190200,269600,0.71,01-01-2008
Horticultural Waste,133300,96000,229300,0.42,01-01-2008
Ferrous Metal,49800,735000,784800,0.94,01-01-2008
Non-Ferrous Metal,13000,72000,85000,0.85,01-01-2008
Used Slag,5700,560500,566200,0.99,01-01-2008
Ash & Sludge,114600,0,114600,0,01-01-2008
Glass,47100,10000,57100,0.18,01-01-2008
Textile/Leather,82300,11000,93300,0.12,01-01-2008
Scrap Tyres,3000,22100,25100,0.88,01-01-2008
Others,300300,8000,308300,0.03,01-01-2008
Food,507700,51200,558900,0.09,01-01-2007
Paper,583900,619000,1202900,0.51,01-01-2007
Plastic,584800,75000,659800,0.11,01-01-2007
Construction Debris,19000,759300,778300,0.98,01-01-2007
Wood,118400,127800,246200,0.52,01-01-2007
Horticultural Waste,133500,91100,224600,0.41,01-01-2007
Ferrous Metal,68500,668000,736500,0.91,01-01-2007
Non-Ferrous Metal,16700,75600,92300,0.82,01-01-2007
Used Slag,7200,520000,527200,0.99,01-01-2007
Ash & Sludge,124600,0,124600,0,01-01-2007
Glass,59500,5800,65300,0.09,01-01-2007
Textile/Leather,104100,6000,110100,0.05,01-01-2007
Scrap Tyres,3500,22000,25500,0.86,01-01-2007
Others,234600,14000,248600,0.06,01-01-2007
Food,498000,44700,542700,0.08,01-01-2006
Paper,544900,571400,1116300,0.51,01-01-2006
Plastic,579000,77800,656800,0.12,01-01-2006
Construction Debris,15000,604000,619000,0.98,01-01-2006
Wood,142000,81700,223700,0.37,01-01-2006
Horticultural Waste,144000,87000,231000,0.38,01-01-2006
Ferrous Metal,68500,657400,725900,0.91,01-01-2006
Non-Ferrous Metal,16000,70700,86700,0.82,01-01-2006
Used Slag,53600,417000,470600,0.89,01-01-2006
Ash & Sludge,126800,0,126800,0,01-01-2006
Glass,56600,6400,63000,0.1,01-01-2006
Textile/Leather,87700,4100,91800,0.04,01-01-2006
Scrap Tyres,4500,19400,23900,0.81,01-01-2006
Others,227000,15300,242300,0.06,01-01-2006
Food,495000,36500,531500,0.07,01-01-2005
Paper,558100,540500,1098600,0.49,01-01-2005
Plastic,588800,86000,674800,0.13,01-01-2005
Construction Debris,27200,465300,492500,0.94,01-01-2005
Wood,149300,90000,239300,0.38,01-01-2005
Horticultural Waste,98500,101000,199500,0.51,01-01-2005
Ferrous Metal,69200,749100,818300,0.92,01-01-2005
Non-Ferrous Metal,14700,74700,89400,0.84,01-01-2005
Used Slag,83500,298900,382400,0.78,01-01-2005
Ash & Sludge,98300,0,98300,0,01-01-2005
Glass,58800,3800,62600,0.06,01-01-2005
Textile/Leather,85000,4000,89000,0.04,01-01-2005
Scrap Tyres,6000,10800,16800,0.64,01-01-2005
Others,216400,8800,225200,0.04,01-01-2005
Food,500000,31100,531100,0.06,01-01-2004
Paper,612200,519900,1132100,0.46,01-01-2004
Plastic,609000,74100,683100,0.11,01-01-2004
Construction Debris,38000,471000,509000,0.93,01-01-2004
Wood,148600,73700,222300,0.33,01-01-2004
Horticultural Waste,99100,127900,227000,0.56,01-01-2004
Ferrous Metal,70300,649900,720200,0.9,01-01-2004
Non-Ferrous Metal,15100,71800,86900,0.83,01-01-2004
Used Slag,7600,259600,267200,0.97,01-01-2004
Ash & Sludge,93900,0,93900,0,01-01-2004
Glass,68700,4900,73600,0.07,01-01-2004
Textile/Leather,109500,5000,114500,0.04,01-01-2004
Scrap Tyres,7500,7200,14700,0.49,01-01-2004
Others,103100,11000,114100,0.1,01-01-2004
Food,515100,32900,548000,0.06,01-01-2003
Paper,618500,466200,1084700,0.43,01-01-2003
Plastic,540800,39100,579900,0.07,01-01-2003
Construction Debris,24600,398300,422900,0.94,01-01-2003
Wood,172600,40800,213400,0.19,01-01-2003
Horticultural Waste,185300,119300,304600,0.39,01-01-2003
Ferrous Metal,57700,799000,856700,0.93,01-01-2003
Non-Ferrous Metal,18100,75800,93900,0.81,01-01-2003
Used Slag,21800,238500,260300,0.92,01-01-2003
Ash & Sludge,88500,0,88500,0,01-01-2003
Glass,59300,6200,65500,0.09,01-01-2003
Textile/Leather,90700,900,91600,0.01,01-01-2003
Scrap Tyres,8200,6200,14400,0.43,01-01-2003
Others,103800,0,103800,0,01-01-2003
Construction Debris,9400,1599900,1609300,0.99,01-01-2017
Ferrous Metal,7800,1371000,1378800,0.99,01-01-2017
Used Slag,3100,269400,272500,0.99,01-01-2017
Non-Ferrous Metal,1500,92200,93700,0.98,01-01-2017
Scrap Tyres,2900,33000,35900,0.92,01-01-2017
Wood,97300,326800,424100,0.77,01-01-2017
Horticultural Waste,107600,220700,328300,0.67,01-01-2017
Paper,576000,568800,1144800,0.5,01-01-2017
Glass,58900,12400,71300,0.17,01-01-2017
Food,676800,133000,809800,0.16,01-01-2017
Ash & Sludge,214800,28600,243400,0.12,01-01-2017
Plastic,763400,51800,815200,0.06,01-01-2017
Textile/Leather,141200,9600,150800,0.06,01-01-2017
Others,319300,7100,326400,0.02,01-01-2017
